      category        category_slice  precision   recall    fbeta  num_records
     workclass               Private   0.734813 0.628372 0.677437         4578
     workclass             State-gov   0.739130 0.698630 0.718310          254
     workclass      Self-emp-not-inc   0.740741 0.509554 0.603774          498
     workclass          Self-emp-inc   0.775862 0.762712 0.769231          212
     workclass           Federal-gov   0.785714 0.785714 0.785714          191
     workclass             Local-gov   0.764706 0.709091 0.735849          387
     workclass                     ?   0.730769 0.452381 0.558824          389
     workclass           Without-pay   1.000000 1.000000 1.000000            4
     education          Some-college   0.701422 0.534296 0.606557         1485
     education               HS-grad   0.656109 0.420290 0.512367         2085
     education             Bachelors   0.755708 0.735556 0.745495         1053
     education               Masters   0.819444 0.855072 0.836879          369
     education            Assoc-acdm   0.710526 0.574468 0.635294          198
     education               7th-8th   0.500000 0.166667 0.250000          141
     education                  11th   1.000000 0.363636 0.533333          225
     education             Assoc-voc   0.622642 0.523810 0.568966          273
     education           Prof-school   0.836957 0.916667 0.875000          116
     education                   9th   1.000000 0.333333 0.500000          115
     education               5th-6th   1.000000 0.500000 0.666667           62
     education                  10th   0.333333 0.166667 0.222222          183
     education             Doctorate   0.852459 0.912281 0.881356           77
     education                  12th   1.000000 0.400000 0.571429           98
     education               1st-4th   1.000000 1.000000 1.000000           23
     education             Preschool   1.000000 1.000000 1.000000           10
marital-status              Divorced   0.775510 0.368932 0.500000          920
marital-status    Married-civ-spouse   0.737185 0.688450 0.711984         2950
marital-status         Never-married   0.796296 0.417476 0.547771         2126
marital-status             Separated   1.000000 0.421053 0.592593          209
marital-status               Widowed   1.000000 0.157895 0.272727          208
marital-status Married-spouse-absent   1.000000 0.250000 0.400000           96
marital-status     Married-AF-spouse   1.000000 0.666667 0.800000            4
    occupation          Adm-clerical   0.638889 0.479167 0.547619          726
    occupation       Exec-managerial   0.789333 0.745592 0.766839          838
    occupation     Machine-op-inspct   0.526316 0.425532 0.470588          378
    occupation          Craft-repair   0.687500 0.486188 0.569579          821
    occupation        Prof-specialty   0.786458 0.770408 0.778351          828
    occupation                 Sales   0.739884 0.666667 0.701370          729
    occupation     Handlers-cleaners   0.666667 0.333333 0.444444          273
    occupation         Other-service   1.000000 0.192308 0.322581          667
    occupation       Protective-serv   0.766667 0.547619 0.638889          136
    occupation       Priv-house-serv   1.000000 1.000000 1.000000           26
    occupation      Transport-moving   0.608696 0.437500 0.509091          317
    occupation                     ?   0.730769 0.452381 0.558824          389
    occupation       Farming-fishing   0.615385 0.285714 0.390244          193
    occupation          Tech-support   0.680000 0.666667 0.673267          189
    occupation          Armed-Forces   1.000000 1.000000 1.000000            3
  relationship         Not-in-family   0.783505 0.404255 0.533333         1702
  relationship                  Wife   0.713235 0.678322 0.695341          322
  relationship               Husband   0.740402 0.692308 0.715548         2590
  relationship             Unmarried   0.928571 0.288889 0.440678          702
  relationship             Own-child   1.000000 0.176471 0.300000         1019
  relationship        Other-relative   1.000000 0.375000 0.545455          178
          race                 White   0.742041 0.636555 0.685262         5595
          race                 Black   0.754717 0.615385 0.677966          599
          race                 Other   0.800000 0.666667 0.727273           55
          race    Asian-Pac-Islander   0.785714 0.709677 0.745763          193
          race    Amer-Indian-Eskimo   0.625000 0.500000 0.555556           71
           sex                Female   0.721212 0.510730 0.597990         2126
           sex                  Male   0.747039 0.659940 0.700794         4387
native-country         United-States   0.742647 0.633449 0.683716         5870
native-country                Mexico   1.000000 0.333333 0.500000          114
native-country           Puerto-Rico   0.833333 0.833333 0.833333           22
native-country           El-Salvador   1.000000 1.000000 1.000000           20
native-country                     ?   0.724138 0.677419 0.700000          125
native-country              Columbia   1.000000 1.000000 1.000000            6
native-country                Poland   0.666667 1.000000 0.800000           14
native-country              Cambodia   1.000000 0.000000 0.000000            3
native-country               Germany   0.818182 0.692308 0.750000           32
native-country           Philippines   1.000000 0.750000 0.857143           35
native-country                Canada   0.750000 0.750000 0.750000           22
native-country               Ecuador   1.000000 0.500000 0.666667            5
native-country                 Italy   0.750000 0.750000 0.750000           14
native-country                  Cuba   0.666667 0.800000 0.727273           19
native-country                  Iran   0.333333 0.200000 0.250000           12
native-country               Jamaica   0.000000 1.000000 0.000000           13
native-country                 Haiti   1.000000 1.000000 1.000000            6
native-country                 South   0.333333 0.500000 0.400000           13
native-country                Taiwan   0.750000 0.750000 0.750000           11
native-country    Dominican-Republic   1.000000 1.000000 1.000000            8
native-country               Ireland   1.000000 1.000000 1.000000            5
native-country                 Japan   0.750000 0.750000 0.750000           11
native-country              Scotland   1.000000 1.000000 1.000000            3
native-country                 India   0.777778 0.875000 0.823529           21
native-country       Trinadad&Tobago   1.000000 1.000000 1.000000            3
native-country               Hungary   1.000000 0.500000 0.666667            3
native-country               England   0.666667 0.500000 0.571429           14
native-country                  Laos   1.000000 0.000000 0.000000            4
native-country                  Hong   0.500000 1.000000 0.666667            8
native-country                Greece   0.000000 0.000000 0.000000            7
native-country              Portugal   1.000000 1.000000 1.000000            6
native-country             Guatemala   1.000000 1.000000 1.000000           13
native-country                 China   1.000000 0.875000 0.933333           18
native-country                France   1.000000 1.000000 1.000000            5
native-country             Nicaragua   1.000000 1.000000 1.000000            7
native-country               Vietnam   1.000000 1.000000 1.000000            5
native-country              Thailand   1.000000 1.000000 1.000000            5
native-country                  Peru   0.000000 0.000000 0.000000            5
native-country              Honduras   1.000000 1.000000 1.000000            4
native-country            Yugoslavia   1.000000 1.000000 1.000000            2
